company,email,website,industry,source
OE-Werkstatt - Pro Bono Allianz Deutschland,info@schmid-stiftung.org,https://www.pro-bono-allianz.de/en/programm/oe-workshop/,service,lead_generator
Werkstattinfos und Tipps für Autofahrer - PROFISERVICE ...,info@coparts.de,https://www.profi-service-werkstatt.de/,service,lead_generator
Heizung Deutschland Bewertungen 37 - Trustpilot,info@heizung-deutschland.org,https://de.trustpilot.com/review/heizung-deutschland.org,handwerk,lead_generator
Bundesverband der Deutschen Heizungsindustrie,241014_BDH@1280.mp4,https://www.bdh-industrie.de/,handwerk,lead_generator
Heizung und Solar zu Discountpreisen,info@heizungsdiscount24.de,https://www.heizungsdiscount24.de/?srsltid=AfmBOoqfq0em8vTVcoXL_wOUyzFhIclnB_dlJmLtYiPNmu_UgvkZkeDV,handwerk,lead_generator
"Buderus - Systemlösungen für Heizung, Solar, Wärmepumpen",klimaschutzhotline@buderus.de,https://www.buderus.de/de,handwerk,lead_generator
Austauschpflicht für Heizungen | heimWatt Ratgeber,anfragen@heim-watt.de,https://heim-watt.de/ratgeber/austauschpflicht-fuer-heizungen/,handwerk,lead_generator
"Skybad Sanitär-Shop: Bad, Küche, Heizung online kaufen",info@skybad.de,https://www.skybad.de/,handwerk,lead_generator
Badkeramik & Badmöbel | LAUFEN Deutschland,document-library-web@6.0.177,https://www.de.laufen.com/,unknown,lead_generator
Geberit – Marktführer für Sanitärprodukte | geberit.de,kundenschulung.langenfeld@geberit.com,https://www.geberit.de/home/,handwerk,lead_generator
"Bernstein Badshop - Badmöbel, Duschen & WCs online kaufen",Deine@email.de,https://bernstein-badshop.de/,retail,lead_generator
"SHK-Großhandel für Sanitär, Heizung & Installation | Weinmann ...",verkauf@weinmann-schanz.de,https://www.weinmann-schanz.de/,handwerk,lead_generator
Einzelhandel Deutschland: Trends & Insights - The Great Retail,support@thegreatretail.com,https://www.thegreatretail.com/einzelhandel-in-deutschland,retail,lead_generator
Einzelhandel | BMWE - bundeswirtschaftsministerium.de,datenschutzbeauftragte@bmwk.bund.de,https://www.bundeswirtschaftsministerium.de/Redaktion/DE/Dossier/einzelhandel.html,retail,lead_generator
Handel: Einzelhandel schrumpft – bald weniger als 300.000 Geschäfte | DIE ZEIT,audiofeedback@zeit.de,https://www.zeit.de/wirtschaft/2026-03/einzelhandel-anzahl-onlinehandel-fachgeschaefte-gxe,retail,lead_generator
Die Top 30 Einzelhandelsunternehmen in Deutschland - DatenMarkt,info@datenmarkt.de,https://www.datenmarkt.de/liste-30-groesste-einzelhandelsunternehmen-deutschland/,retail,lead_generator
Stationärer Einzelhandel: Top 100 der umsatzstärksten Vertriebslinien in Deutschland | 2020 | Handelsdaten.de | Statistik-Portal zum Handel,info@ehi.org,https://www.handelsdaten.de/deutschsprachiger-einzelhandel/stationaerer-einzelhandel-top-100-vertriebslinien-2020,retail,lead_generator
Shop Doen,bootstrap@5.3.3,https://www.shopdoen.com/?srsltid=AfmBOorJgz24_N6Y7hr6CIHJew-4oTW_kHqfIB61A33wNSnZy1RKVJwO,retail,lead_generator
JD Sports Deutschland - Sneaker & Sportbekleidung Online Shop,julia.whelan@jdplc.com,https://www.jdsports.de/,retail,lead_generator
"s.Oliver Kleidung, Mode, Schuhe & Accessoires online kaufen",372e24500168dc0750923a1e3bb64b60@o503784.ingest.us.sentry.io,https://www.soliver.de/,retail,lead_generator
Merz b. Schwanen,sales@merzbschwanen.com,https://www.merzbschwanen.com/,unknown,lead_generator
Manufactum. Das Warenhaus der guten Dinge,berlin@manufactum.de,https://www.manufactum.de/,unknown,lead_generator
"Fashion, Clothing & Accessories | COMMA - Online Shop",service@comma-store.com,https://www.comma-store.eu/,retail,lead_generator
The best Germany hotels - Booking.com,customer.service@booking.com,https://www.booking.com/country/de.html,hotel,lead_generator
Hotels in Germany | Leonardo Hotels,advantageclub@leonardo-hotels.com,https://www.leonardo-hotels.com/germany,hotel,lead_generator
Home | Deutsche Eiche München,info@deutsche-eiche.de,https://www.deutsche-eiche.de/en/,unknown,lead_generator
Pension.de,service@pension.de,https://pension.de/,hotel,lead_generator
Germany's Pension Landscape: Navigating Benefits and Taxation for Informed Decision-Making,recipient@example.com,https://www.eurodev.com/blog/germanys-pension-landscape,hotel,lead_generator
Pensions | EURAXESS,info@euraxess.de,https://www.euraxess.de/germany/information-assistance/social-security/pension-scheme,hotel,lead_generator
Pensions from Germany (Social Security) - Federal Foreign Office,sdk@0.1.31,https://www.germany.info/us-en/service/07-pension/pension-from-germany-922984,hotel,lead_generator
How Pensions Work in Germany: A Complete Guide,info@pensionfriend.de,https://pensionfriend.de/en/how-do-pensions-work-in-germany.ap,hotel,lead_generator
The German Pension System for Americans in Germany (2025),hello@connectedfinancialplanning.com,https://www.connectedfinancialplanning.com/does-germany-have-social-security-pension-for-americans,hotel,lead_generator
Best Restaurants Germany - TikTok,example@example.com,https://www.tiktok.com/discover/best-restaurants-germany,gastro,lead_generator
"German food, outside seating, catering, online ordering",support@riiwards.com,https://www.deutschlanddowntown.com/,unknown,lead_generator
JRE | Germany,RANGE-ROVERElement-3@4x.png,https://jre.eu/en/countries/germany,unknown,lead_generator
10 MUST EAT Dishes in Germany! | ULTIMATE German Food Tour,wght@300..900,https://www.youtube.com/watch?v=TVSvY2Wnmcw,unknown,lead_generator
Café Deutschland (Lift/Tremble/Back) - Charles Saatchi,ajax-loader@2x.gif,https://www.charlessaatchi.com/artworks/cafe-deutschland-lift-tremble-back/,gastro,lead_generator
"Joerg Immendorff, Cafe Deutschland, 1978 - Anton Kern Gallery",press@antonkerngallery.com,https://www.antonkerngallery.com/artworks/3212-joerg-immendorff-cafe-deutschland-1978/,unknown,lead_generator
Deutschland Café XIII,vimeo-froogaloop2@0.1.0,https://www.mbam.qc.ca/en/works/8154/,gastro,lead_generator
"JÖRG IMMENDORFF - Café Deutschland - Exhibitions - Michael Werner Gallery, New York, London, Beverly Hills",press@michaelwerner.com,https://www.michaelwerner.com/exhibitions/jorg-immendorff6,gastro,lead_generator
JÖRG IMMENDORFF Café Deutschland - The Brooklyn Rail,fieldnotes@brooklynrail.org,https://brooklynrail.org/2014/11/artseen/caf-deutchland/,gastro,lead_generator
Ihr Zahnarzt in Deutschland | An der Schweizer Grenze,info@drhager.com,https://drhager.com/zahnarzt-deutschland-grenze-schweiz/,gesundheit,lead_generator
Zahnarztsuche - KZBV,post@kzbv.de,https://www.kzbv.de/patienten/zahnarztsuche/,gesundheit,lead_generator
DentNet - Deutschlandweites Zahnarztnetzwerk,info@indento.de,https://www.dentnet.de/,gesundheit,lead_generator
FOCUS Empfehlungsliste der Besten Ärzte Deutschlands - Zahnarztpraxis Michalides & Lang,info@schönezähne.de,https://www.zahnaerzte-stuhr.de/konzept/78-news/spezial/188-focus-empfehlungsliste-der-besten-%C3%A4rzte-deutschlands.html,gesundheit,lead_generator
Zahnarzt in Deutschland - Infos für Schweizer Patienten,waldshut@dorow-clinic.de,https://dorow-clinic.de/fuer-schweizer-patienten/,gesundheit,lead_generator
Zahnarztsuche - Bundeszahnärztekammer,info@dp-wired.de,https://www.bzaek.de/fuer-patienten/zahnarztsuche.html,gesundheit,lead_generator
Arztsuche - Bundesärztekammer,info@baek.de,https://www.bundesaerztekammer.de/arztsuche,gesundheit,lead_generator
praktischArzt | Die Jobbörse für Ärzte | Arzt Stellenangebote,kontakt@praktischarzt.de,https://www.praktischarzt.de/,gesundheit,lead_generator
Immer mehr Ärztinnen und Ärzte aus dem Ausland in Deutschland,publication@ard.de,https://www.tagesschau.de/inland/gesellschaft/aerzte-zuwanderung-deutschland-100.html,unknown,lead_generator
Online-Ärzte: Termine und Sprechstunden | arzt-direkt,globe@2x.webp,https://arzt-direkt.de/,gesundheit,lead_generator
Arzt Gehalt | Springer Medizin Jobs,stellenanzeigen@springer.com,https://jobs.springermedizin.de/arzt-karriere/gehalt/arzt-gehalt,gesundheit,lead_generator
Deutsches Ärzteblatt: Aktuelles aus Gesundheitspolitik und Medizin,aerzteblatt@aerzteblatt.de,https://www.aerzteblatt.de/,unknown,lead_generator
Kfz-Kennzeichen Liste » Autokennzeichen in Deutschland,flags@2x.png,https://www.kennzeichenheld.de/magazin/kfz-kennzeichen-liste/,service,lead_generator
Deutsches Kraftfahrzeuggewerbe,cremer@kfzgewerbe.de,https://www.kfzgewerbe.de/,unknown,lead_generator
≡ Kfz Kennzeichen Liste | Autokennzeichen Deutschland A-Z,support@kennzeichenking.de,https://www.kennzeichenking.de/kfz-kennzeichen-liste,service,lead_generator
Autokennzeichen in Deutschland: Liste aller Kfz-Kennzeichen,fancybox_loading@2x.gif,https://www.bussgeldkatalog.org/autokennzeichen/deutschland/,service,lead_generator
Autokennzeichen: Liste aller Kfz-Kennzeichen in Deutschland - ADAC,redaktion@adac.de,https://www.adac.de/rund-ums-fahrzeug/auto-kaufen-verkaufen/kfz-zulassung/kfz-kennzeichen-deutschland/,service,lead_generator
Kfz-Kennzeichen in Deutschland - ACE Auto Club Europa,info@ace.de,https://www.ace.de/ratgeber/rund-ums-auto/kennzeichen/,service,lead_generator
Werkstatträte Deutschland e.V.,info@wr-deutschland.de,https://www.xn--werkstattrte-deutschland-zbc.de/,service,lead_generator
OE-Werkstatt - Pro Bono Allianz Deutschland,info@schmid-stiftung.org,https://www.pro-bono-allianz.de/en/programm/oe-workshop/,service,lead_generator
Werkstattinfos und Tipps für Autofahrer - PROFISERVICE ...,info@coparts.de,https://www.profi-service-werkstatt.de/,service,lead_generator
Heizung Deutschland Bewertungen 37 - Trustpilot,support@trustpilot.com,https://de.trustpilot.com/review/heizung-deutschland.org,handwerk,lead_generator
Der Online-Shop für Heizung,info@heizung-deutschland.org,https://heizung-deutschland.org/,handwerk,lead_generator
Bundesverband der Deutschen Heizungsindustrie,241014_BDH@1280.mp4,https://www.bdh-industrie.de/,handwerk,lead_generator
Heizung und Solar zu Discountpreisen,info@heizungsdiscount24.de,https://www.heizungsdiscount24.de/?srsltid=AfmBOoqfq0em8vTVcoXL_wOUyzFhIclnB_dlJmLtYiPNmu_UgvkZkeDV,handwerk,lead_generator
"Buderus - Systemlösungen für Heizung, Solar, Wärmepumpen",klimaschutzhotline@buderus.de,https://www.buderus.de/de,handwerk,lead_generator
Austauschpflicht für Heizungen | heimWatt Ratgeber,anfragen@heim-watt.de,https://heim-watt.de/ratgeber/austauschpflicht-fuer-heizungen/,handwerk,lead_generator
"Skybad Sanitär-Shop: Bad, Küche, Heizung online kaufen",info@skybad.de,https://www.skybad.de/,handwerk,lead_generator
Geberit – Marktführer für Sanitärprodukte | geberit.de,kundenschulung.langenfeld@geberit.com,https://www.geberit.de/home/,handwerk,lead_generator
MEGABAD - Badshop & Sanitärbedarf - große Auswahl,service@megabad.de,https://www.megabad.com/,handwerk,lead_generator
SHK-Badshop – Sanitär und Bad online kaufen | Markenqualität,info@shkshop.com,https://www.shkshop.com/,handwerk,lead_generator
Startseite | R+F,info@r-f.de,https://www.richter-frenzel.de/,unknown,lead_generator
Badkeramik & Badmöbel | LAUFEN Deutschland,calendar-web@5.0.89,https://www.de.laufen.com/,unknown,lead_generator
Einzelhandel Deutschland: Trends & Insights - The Great Retail,support@thegreatretail.com,https://www.thegreatretail.com/einzelhandel-in-deutschland,retail,lead_generator
Einzelhandel | BMWE - bundeswirtschaftsministerium.de,datenschutzbeauftragte@bmwk.bund.de,https://www.bundeswirtschaftsministerium.de/Redaktion/DE/Dossier/einzelhandel.html,retail,lead_generator
Handel: Einzelhandel schrumpft – bald weniger als 300.000 Geschäfte | DIE ZEIT,audiofeedback@zeit.de,https://www.zeit.de/wirtschaft/2026-03/einzelhandel-anzahl-onlinehandel-fachgeschaefte-gxe,retail,lead_generator
Die Top 30 Einzelhandelsunternehmen in Deutschland - DatenMarkt,info@datenmarkt.de,https://www.datenmarkt.de/liste-30-groesste-einzelhandelsunternehmen-deutschland/,retail,lead_generator
Stationärer Einzelhandel: Top 100 der umsatzstärksten Vertriebslinien in Deutschland | 2020 | Handelsdaten.de | Statistik-Portal zum Handel,info@ehi.org,https://www.handelsdaten.de/deutschsprachiger-einzelhandel/stationaerer-einzelhandel-top-100-vertriebslinien-2020,retail,lead_generator
DEUTSCHLAND TOUR | OFFICIAL SHOP | OFFIZIELLE BOUTIQUE,hellosporeo@sporeo.fr,https://www.sporeo-shop.com/en/76-deutschland-tour-official-shop,retail,lead_generator
JD Sports Deutschland - Sneaker & Sportbekleidung Online Shop,julia.whelan@jdplc.com,https://www.jdsports.de/,retail,lead_generator
Carl Zeiss Microscopy Deutschland GmbH,info.microscopy.de@zeiss.com,https://www.micro-shop.zeiss.com/,unknown,lead_generator
"s.Oliver Kleidung, Mode, Schuhe & Accessoires online kaufen",372e24500168dc0750923a1e3bb64b60@o503784.ingest.us.sentry.io,https://www.soliver.de/,retail,lead_generator
Hotel Germany | Best Hotels in Germany,vanilla-lazyload@16.1.0,https://www.novum-hotels.com/en/hotel-germany,hotel,lead_generator
Welcome - Muze Hotels | Official Website,player@2.29.0,https://www.muze-hotels.com/welcome,hotel,lead_generator
Affordable hotels in Europe and in the world | B&B HOTELS,privacy.france@hotelbb.com,https://www.hotel-bb.com/en,hotel,lead_generator
Pension.de,shoelace@2.20.1,https://pension.de/,hotel,lead_generator
Germany's Pension Landscape: Navigating Benefits and Taxation for Informed Decision-Making,recipient@example.com,https://www.eurodev.com/blog/germanys-pension-landscape,hotel,lead_generator
Pensions | EURAXESS,info@euraxess.de,https://www.euraxess.de/germany/information-assistance/social-security/pension-scheme,hotel,lead_generator
Pensions from Germany (Social Security) - Federal Foreign Office,friendly-challenge@0.9.19,https://www.germany.info/us-en/service/07-pension/pension-from-germany-922984,hotel,lead_generator
How Pensions Work in Germany: A Complete Guide,info@pensionfriend.de,https://pensionfriend.de/en/how-do-pensions-work-in-germany.ap,hotel,lead_generator
The German Pension System for Americans in Germany (2025),hello@connectedfinancialplanning.com,https://www.connectedfinancialplanning.com/does-germany-have-social-security-pension-for-americans,hotel,lead_generator
